Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),15:45,04h 45m,20:30,3.8,298.0,8.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.1,298.0,7.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,04h 45m,16:15,4.2,442.46,21.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),11:30,05h 15m,16:45,4.1,450.0,6.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),13:00,04h 00m,17:00,4.5,388.0,1.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,4.4,432.06,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.5,388.0,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,3.1,400.0,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),13:10,04h 40m,17:50,2.4,500.0,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),23:00,05h 15m,04:15,1.0,700.0,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04h 20m,04:00,1.7,700.0,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Shopuris Travels,Non AC Seater (2+1),20:50,06h 10m,03:00,3.0,494.0,19.0
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Shopuris Travels,Non AC Seater (2+1),23:00,05h 00m,04:00,3.0,494.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,04h 15m,18:00,3.7,298.0,23.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,04h 00m,19:15,4.0,298.0,31.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),A/C Seater (2+2),10:50,04h 10m,15:00,4.0,380.95,25.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),11:30,04h 20m,15:50,4.2,380.95,36.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),12:15,04h 45m,17:00,4.8,380.95,13.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),13:00,04h 10m,17:10,4.3,360.0,30.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,03h 35m,17:50,4.3,360.0,25.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:00,03h 40m,18:40,4.3,360.0,37.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:35,03h 40m,19:15,3.8,500.0,6.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,03h 25m,19:40,4.3,500.0,1.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Kalpana Travels,AC Seater (2+2),16:50,03h 25m,20:15,4.7,500.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,04h 15m,23:00,3.6,500.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater / Sleeper (2+2),19:30,05h 00m,00:30,3.4,350.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,3.4,648.23,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,04h 30m,01:00,4.2,290.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BARBIE TRAVELS,A/C Seater Push Back (2+2),20:30,04h 30m,01:00,3.7,300.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,AC Seater (2+2),20:00,03h 45m,23:45,4.6,500.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Upasana Travels (Under ASTC),Non AC Seater (2+2),11:00,04h 00m,15:00,2.6,300.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Upasana Travels (Under ASTC),A/C Seater (2+2),11:30,04h 30m,16:00,2.0,500.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,KIRAN TRAVELS,A/C Seater (2+1),20:40,03h 50m,00:30,3.1,500.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Shopuris Travels,Non AC Seater (2+1),17:00,06h 00m,23:00,2.0,800.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),17:30,05h 30m,23:00,1.7,600.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Brindaban Travels,Non AC Seater (2+2),17:15,04h 00m,21:15,2.8,700.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater (2+1),18:00,05h 30m,23:30,1.0,650.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Himalayan Travels,NON AC Seater / Sleeper 2+1,20:30,06h 00m,02:30,3.7,494.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Zainab Travels (Under ASTC),A/C Seater (2+1),20:30,05h 00m,01:30,3.4,494.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,A/C Seater / Sleeper (2+1),21:00,05h 00m,02:00,2.1,494.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),19:00,05h 15m,00:15,2.8,494.0,19.0
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,05h 15m,01:15,3.0,494.0,19.0
